GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,1510.8019,3955.4087,5199.8199,0.0,0.0,0.0,-4222.5817,-35363.6138,1849.0756,18711.2774,-4960.8479,149.75143992,-8359.811999999998,-4811.09646008,-13170.908460079998
1,1485.3414,4091.3713,5218.2959,0.0,0.0,0.0,-4298.4321,-35202.6102,1856.2382,18777.9919,-5099.3024,148.60102608,-8071.803599999999,-4950.701373919999,-13022.50497392
2,1478.2068,4104.3976,5197.8015,0.0,0.0,0.0,-4256.1435,-35238.1522,1857.2176,18814.4539,-5160.9198,150.49267344,-8042.218299999997,-5010.42712656,-13052.645426559997
3,1480.3167,4076.0668,5209.9283,0.0,0.0,0.0,-4267.0692,-35096.1216,1857.2543,18702.1451,-5216.794,150.42190608,-8037.479599999999,-5066.37209392,-13103.851693919998
4,1487.0492,4044.2311,5186.3636,0.0,0.0,0.0,-4243.1821,-35184.3956,1851.4601,18747.6751,-5147.698,148.91947272,-8110.7986000000055,-4998.77852728,-13109.577127280007
5,1419.4798,4139.0663,5160.8519,0.0,0.0,0.0,-4200.9735,-35047.507,1873.5175,18756.3618,-5327.4709,154.72749456,-7899.203199999996,-5172.74340544,-13071.946605439996
6,1441.1978,4066.9615,5171.8673,0.0,0.0,0.0,-4229.2961,-35125.4604,1856.3938,18763.4907,-5188.9813,151.58002535999998,-8054.845400000006,-5037.40127464,-13092.246674640006
7,1458.6451,4150.4415,5204.0002,0.0,0.0,0.0,-4205.8739,-35144.0527,1876.6413,18857.2317,-5329.6854,155.56452912,-7802.966799999998,-5174.12087088,-12977.087670879999
8,1513.8981,4033.3543,5174.3798,0.0,0.0,0.0,-4200.8873,-35234.1555,1861.4798,18913.4617,-5184.4211,151.46363232000002,-7938.469100000002,-5032.957467679999,-12971.426567680002
9,1538.297,4074.2825,5218.5561,0.0,0.0,0.0,-4241.1322,-35382.3579,1890.6913,18836.6547,-5055.2814,151.81864848,-8065.008500000004,-4903.46275152,-12968.471251520003
10,1522.879,3944.667,5182.3619,0.0,0.0,0.0,-4231.8893,-35106.1197,1863.9903,18811.2902,-5264.7995,150.1200684,-8012.820600000003,-5114.6794316000005,-13127.500031600004
11,1515.4914,4148.2669,5226.1644,0.0,0.0,0.0,-4227.399,-35341.1109,1865.8213,18801.8265,-5128.6499,149.35351464,-8010.939400000003,-4979.29638536,-12990.235785360002
12,1518.1615,4064.5294,5206.2724,0.0,0.0,0.0,-4235.5131,-35437.1386,1861.6456,18797.5604,-4987.3315,151.04245247999998,-8224.4824,-4836.28904752,-13060.771447520001
13,1491.5369,4036.3284,5236.2803,0.0,0.0,0.0,-4269.507,-35351.7567,1870.9769,18728.0211,-4993.3453,147.20156928,-8258.120099999996,-4846.14373072,-13104.263830719998
14,1519.8329,4028.5189,5183.6009,0.0,0.0,0.0,-4246.3221,-35172.5335,1852.2078,18788.354,-5230.214,151.49484288,-8046.341099999998,-5078.71915712,-13125.060257119998
15,1475.536,4038.3308,5245.841,0.0,0.0,0.0,-4241.0653,-35194.2795,1856.2484,18836.7006,-5189.1513,149.66959032,-7982.687999999995,-5039.481709680001,-13022.169709679996
16,1505.3426,4128.2303,5162.6517,0.0,0.0,0.0,-4253.495,-35094.0695,1855.8137,18741.0397,-5263.9834,150.60925152,-7954.486499999995,-5113.37414848,-13067.860648479997
17,1498.3712,4062.4045,5180.3229,0.0,0.0,0.0,-4209.7387,-35045.1376,1870.0477,18749.1549,-5298.0798,156.65327352,-7894.575099999998,-5141.426526480001,-13036.001626479998
18,1478.1146,4076.4143,5217.61,0.0,0.0,0.0,-4277.6014,-34957.0256,1837.0227,18731.3118,-5337.9461,154.23517224,-7894.1536000000015,-5183.71092776,-13077.864527760003
19,1537.0954,4076.6471,5172.2998,0.0,0.0,0.0,-4241.5213,-34991.1535,1831.4901,18792.1371,-5356.9306,152.55444599999998,-7823.005300000001,-5204.376154,-13027.381454
20,1498.4717,4103.2963,5172.1073,0.0,0.0,0.0,-4275.0289,-35050.5313,1847.2885,18752.5807,-5278.9717,152.10415368,-7951.8157000000065,-5126.86754632,-13078.683246320006
21,1506.0135,4003.8607,5208.2409,0.0,0.0,0.0,-4240.8155,-35387.116,1855.2458,18848.8849,-5066.9329,152.06455296,-8205.685700000002,-4914.86834704,-13120.554047040001
22,1543.4251,4019.5332,5186.6634,0.0,0.0,0.0,-4273.8748,-35156.4376,1830.9574,18828.8528,-5275.5005,151.98939144,-8020.880499999999,-5123.51110856,-13144.39160856
23,1524.3386,4032.0081,5232.8486,0.0,0.0,0.0,-4221.6262,-35036.3394,1837.2684,18822.2516,-5362.1375,155.34429264,-7809.250299999996,-5206.7932073599995,-13016.043507359997
24,1519.8744,4051.3257,5229.1792,0.0,0.0,0.0,-4244.6851,-35241.3294,1836.9192,18920.167,-5274.1564,152.32279463999998,-7928.548999999999,-5121.83360536,-13050.382605359999
25,1529.9853,4073.287,5205.9828,0.0,0.0,0.0,-4270.8751,-35190.2409,1854.9209,18795.5696,-5189.0933,151.30324656000002,-8001.3704,-5037.7900534400005,-13039.16045344
26,1473.4263,4130.1966,5163.5816,0.0,0.0,0.0,-4164.6435,-35313.3536,1843.6896,18846.2853,-5144.2952,153.62669807999998,-8020.8177,-4990.6685019199995,-13011.48620192
27,1569.2062,3999.8367,5175.4952,0.0,0.0,0.0,-4223.6169,-35249.2564,1853.6382,18794.6571,-5098.2005,150.10536599999998,-8080.039899999996,-4948.095134,-13028.135033999995
